Monthly Highest Min Temperature for CAPE MAY 2 NW, NJ

Year, Jan, Feb, Mar, Apr, May, Jun, Jul, Aug, Sep, Oct, Nov, Dec, Annual
1965, 45, 41, 40, 50, 65, 70, 74, 74, 71, 65, 55, 47, M
1966, 49, 40, 47, 50, 59, 71, 74, 72, 72, 63, 57, 49, 74
1967, 45, 40, 41, 52, 59, 68, 72, 73, M, 65, 56, 39, M
1968, 40, 38, 51, 52, 63, 69, 75, M, 71, 69, M, 42, M
1969, 39, 36, 43, 57, 67, 71, 77, 75, 71, 67, 58, 44, 77
1970, 38, 40, 40, 51, 62, 67, 70, 74, 72, 66, 58, 42, 74
1971, 41, 46, 43, 49, 59, 70, 73, 72, 72, 70, 66, 49, 73
1972, 48, 38, 48, 56, 61, 67, 76, 73, 70, 65, 54, 48, 76
1973, 49, 43, 48, 57, 60, 70, 72, 75, 76, 66, 54, 49, 76
1974, 43, 39, 47, 58, 63, 70, 73, 76, 72, 61, 59, 42, 76
1975, 43, 46, 45, 54, 66, 69, 72, 74, 70, 66, 61, 47, 74
1976, 44, 47, 47, 55, 60, 69, 70, 72, 69, 63, 48, 40, 72
1977, 28, 45, 52, 58, 62, 69, 73, 76, 72, 66, 61, 52, 76
1978, 43, 31, 45, 50, 61, 68, 77, 74, 72, 64, 55, 52, 77
1979, 47, 36, 51, 54, 61, 66, 75, 74, 72, 64, 59, 47, 75
1980, 40, 40, 44, 52, 63, 69, 73, 75, 76, 64, 53, 47, 76
1981, 39, 44, 51, 56, 64, 70, 77, 73, 71, 58, 48, 39, 77
1982, 43, 43, 44, 53, 64, 68, 75, 71, 68, 62, 59, 55, 75
1983, 45, 41, 47, 55, 61, 70, 78, 74, 76, 67, 55, 48, 78
1984, 38, 45, 42, 51, 62, 70, 70, 73, 71, 66, 58, 55, 73
1985, 46, 44, 54, 59, 64, 69, 75, 76, 76, 67, 60, 51, 76
1986, 46, 40, 46, 51, 68, 72, 75, 76, 69, 72, 59, 48, 76
1987, 46, 34, 46, 52, 68, 69, 75, 76, 73, 56, 55, 49, 76
1988, 39, 45, 48, 52, 65, 72, 73, 74, 68, 63, 57, 42, 74
1989, 43, 43, 52, 54, 64, 73, 74, 77, 73, 66, 60, 31, 77
1990, 46, 48, 56, 58, 64, 74, 74, 73, 72, 69, 53, 52, 74
1991, 41, 45, 52, 57, 70, 73, 75, 75, 74, 65, 56, 53, 75
1992, 48, 40, 48, 54, 58, 67, 74, 72, 71, 63, 55, 45, 74
1993, 41, 36, 45, 51, 61, 71, 78, 73, 76, 60, 59, 46, 78
1994, 41, 40, 48, 56, 61, 71, 74, 71, 69, 59, 60, 55, 74
1995, 51, 42, 46, 56, 64, 69, 78, 77, 73, 72, 62, 37, 78
1996, 38, 43, 42, 57, 68, 71, 71, 70, 75, 60, 60, 49, 75
1997, 45, 47, 51, 54, 58, 74, 74, 74, 71, 63, 59, 42, 74
1998, 52, 45, 54, 54, 65, 73, 73, 76, 73, 65, 50, 56, 76
1999, 46, 42, 45, 49, 65, 73, 79, 76, 74, 66, 58, 51, 79
2000, 50, 42, 49, 55, 65, 73, 73, 75, 74, 64, 54, 38, 75
2001, 39, 42, 43, 57, 62, 74, 75, 77, 72, 63, 58, 55, 77
2002, 49, 44, 50, 65, 63, 73, 78, 77, 71, 71, 58, 44, 78
2003, 43, 36, 48, 52, 60, 73, 74, 71, 71, 61, 63, 43, 74
2004, 43, 39, 47, 54, M, 72, 74, 73, 73, 64, 53, 51, M
2005, 44, 42, 44, 53, 59, 71, 76, 76, 75, 71, 57, 43, 76
2006, 44, 43, 47, 56, 63, 70, 74, 80, 69, 65, 57, 50, 80
2007, 54, 35, 48, 57, 65, 73, 72, 77, 72, 69, 51, 46, 77
2008, 47, 46, 47, 55, 63, 74, 72, 71, 73, 64, 59, 51, 74
2009, 38, 44, 45, 64, 62, 68, 75, 76, 71, 62, 55, 48, 76
2010, 42, 36, 48, 57, 64, 74, 79, 75, 73, 66, 54, 47, 79
2011, 35, 43, 45, 59, 68, 73, 77, 75, 71, 64, 56, 55, 77
2012, 47, 50, 53, 60, 70, 74, 79, 77, 76, 70, 50, 51, 79
2013, 45, 42, 42, 55, 64, 72, 76, 73, 74, 65, 63, 52, 76
2014, 46, 40, 46, 52, 65, 75, 73, 72, 74, 69, 55, 46, 75
2015, 46, 35, 44, 52, 65, 73, 77, 75, 74, 60, 63, 58, 77
2016, 42, 46, 51, 57, 65, 70, 75, 80, 76, 65, 55, 47, 80
2017, 46, 49, 50, 60, 67, 73, 75, 75, 70, M, M, M, M
