Monthly Lowest Min Temperature for CAPE MAY 2 NW, NJ

Year, Jan, Feb, Mar, Apr, May, Jun, Jul, Aug, Sep, Oct, Nov, Dec, Annual
1965, 10, 12, 24, 27, 48, 50, 53, 54, 50, 34, 31, 19, M
1966, 6, 12, 24, 33, 34, 47, 60, 62, 50, 34, 28, 16, 6
1967, 12, 9, 12, 33, 39, 43, 52, 60, M, 34, 19, 20, M
1968, 8, 12, 17, 30, 45, 50, 54, M, 51, 43, M, 9, M
1969, 13, 20, 18, 25, 39, 53, 60, 55, 44, 29, 21, 20, 13
1970, 7, 12, 22, 31, 37, 52, 61, 58, 43, 40, 24, 19, 7
1971, 12, 10, 21, 28, 43, 52, 55, 54, 50, 46, 28, 20, 10
1972, 7, 15, 22, 26, 37, 48, 55, 53, 48, 30, 25, 23, 7
1973, 11, 8, 23, 24, 43, 55, 61, 56, 52, 40, 30, 18, 8
1974, 16, 16, 23, 31, 36, 48, 57, 54, 40, 31, 26, 23, 16
1975, 17, 19, 21, 27, 41, 49, 55, 58, 47, 31, 30, 19, 17
1976, 8, 13, 25, 29, 41, 49, 57, 50, 45, 32, 20, 14, 8
1977, 2, 12, 29, 27, 41, 48, 53, 54, 47, 39, 29, 14, 2
1978, 14, 11, 17, 33, 41, 51, 57, 60, 41, 33, 27, 19, 11
1979, 12, -1, 22, 31, 42, 49, 56, 54, 42, 34, 29, 23, -1
1980, 16, 15, 10, 33, 44, 47, 61, 60, 48, 36, 26, 7, 7
1981, 6, 14, 24, 31, 34, 54, 61, 57, 45, 37, 22, 20, 6
1982, -2, 16, 20, 22, 45, 51, 56, 49, 49, 32, 23, 13, -2
1983, 15, 16, 27, 31, 38, 52, 60, 55, 41, 31, 34, 6, 6
1984, 5, 17, 15, 30, 42, 50, 56, 55, 44, 39, 22, 26, 5
1985, -1, 17, 23, 30, 39, 55, 57, 57, 49, 32, 36, 14, -1
1986, 12, 18, 15, 34, 39, 48, 56, 45, 45, 38, 25, 15, 12
1987, 1, 10, 19, 32, 38, 51, 57, 54, 46, 33, 24, 15, 1
1988, 9, 12, 22, 35, 42, 45, 57, 56, 48, 30, 31, 10, 9
1989, 17, 15, 18, 29, 45, 56, 57, 57, 40, 36, 24, 7, 7
1990, 24, 14, 17, 32, 44, 50, 57, 60, 46, 31, 30, 21, 14
1991, 12, 19, 27, 32, 41, 47, 61, 62, 43, 32, 25, 18, 12
1992, 11, 15, 20, 31, 33, 51, 58, 57, 42, 35, 27, 16, 11
1993, 21, 11, 18, 32, 43, 52, 62, 59, 44, 37, 27, 11, 11
1994, -1, 13, 24, 35, 38, 52, 61, 51, 50, 35, 30, 19, -1
1995, 17, 9, 22, 28, 39, 52, 59, 55, 48, 39, 26, 18, 9
1996, 13, 6, 16, 32, 37, 48, 57, 59, 46, 33, 22, 19, 6
1997, 11, 24, 22, 31, 35, 43, 57, 57, 45, 34, 26, 23, 11
1998, 21, 23, 23, 32, 39, 51, 58, 51, 41, 40, 28, 15, 15
1999, 11, 16, 19, 33, 40, 51, 58, 57, 52, 36, 26, 22, 11
2000, 10, 18, 25, 33, 35, 50, 60, 53, 45, 39, 24, 13, 10
2001, 18, 19, 24, 31, 43, 47, 56, 55, 47, 32, 27, 22, 18
2002, 22, 20, 21, 31, 39, 51, 55, 58, 53, 38, 28, 19, 19
2003, 9, 16, 17, 35, 36, 54, 63, 57, 49, 34, 25, 22, 9
2004, 8, 17, 26, 33, M, 54, 60, 56, 50, 35, 28, 13, M
2005, 9, 20, 18, 32, 38, 49, 61, 57, 47, 36, 22, 16, 9
2006, 24, 17, 25, 35, 42, 56, 61, 56, 45, 35, 29, 23, 17
2007, 15, 11, 7, 30, 40, 51, 57, 60, 49, 39, 28, 16, 7
2008, 15, 15, 27, 32, 45, 58, 61, 54, 50, 33, 25, 18, 15
2009, 10, 16, 10, 32, 40, 52, 56, 61, 48, 38, 30, 21, 10
2010, 14, 16, 31, 38, 41, 56, 59, 59, 51, 40, 26, 16, 14
2011, 10, 14, 23, 38, 44, 53, 60, 54, 51, 30, 33, 24, 10
2012, 17, 21, 26, 35, 46, 49, 63, 63, 49, 37, 27, 26, 17
2013, 16, 19, 26, 29, 40, 53, 60, 54, 44, 35, 24, 22, 16
2014, 3, 12, 11, 32, 45, 46, 59, 58, 47, 35, 21, 22, 3
2015, 12, 3, 10, 32, 42, 54, 61, 58, 54, 33, 26, 29, 3
2016, 13, 12, 26, 29, 45, 53, 61, 58, 51, 36, 30, 19, 12
2017, 12, 23, 17, 34, 45, 48, 57, 58, 51, M, M, M, M
