Monthly Lowest Min Temperature for CHARLOTTEBURG RSVR, NJ

Year, Jan, Feb, Mar, Apr, May, Jun, Jul, Aug, Sep, Oct, Nov, Dec, Annual
1965, -4, -3, 11, 21, 36, 41, 45, 35, 30, 25, 19, 11, -4
1966, 0, -10, 16, 22, 26, 37, 48, 44, 36, 21, 15, 3, -10
1967, 0, -10, 0, 23, 32, 48, 51, 52, 34, 24, 15, 6, -10
1968, -6, -1, 10, 26, 35, 47, 47, 44, 40, 29, 27, 2, -6
1969, 2, 10, 7, 13, 33, 41, 49, 42, 38, 21, 16, 3, 2
1970, -8, 1, 12, 20, 32, 42, 51, 49, 40, 27, 17, 12, -8
1971, -5, -3, 17, 23, 35, 45, 48, 42, 31, 36, 20, 13, -5
1972, 0, 0, 8, 20, 32, 39, 50, 45, 37, 20, 15, 13, 0
1973, 4, -1, 11, 24, 32, 48, 48, 47, 36, 32, 20, 11, -1
1974, -3, -1, 10, 23, 28, 44, 47, 48, 29, 21, 17, 17, -3
1975, 1, 1, 10, 22, 37, 42, 49, 49, 35, 26, 23, 4, 1
1976, -6, 4, 13, 21, 31, 44, 46, 40, 33, 22, 10, 2, -6
1977, -8, -2, 19, 21, 32, 42, 44, 40, 37, 25, 21, 5, -8
1978, 0, -10, 7, 21, 30, 41, 45, 52, 34, 24, 15, 11, -10
1979, 0, -12, 12, 25, 34, 39, 43, 43, 31, 27, 22, 6, -12
1980, 10, 1, 2, 26, 32, 34, 46, M, 32, 25, 17, -9, M
1981, -13, 0, 7, 23, 31, 42, 47, 43, 39, 25, 18, 1, -13
1982, -11, 5, 4, 13, 34, 41, 42, 36, 35, 25, 13, 4, -11
1983, 4, 2, 17, 27, 30, 39, 47, 46, 32, 20, 17, -11, M
1984, -24, -4, 4, 26, 34, 40, 44, 44, 30, 22, 12, 6, -24
1985, -12, -12, 8, 13, 24, 38, 45, 39, 29, 26, 25, 6, M
1986, 0, 5, 7, 24, 30, 34, 41, 39, 36, 25, 13, 4, 0
1987, -10, -6, 10, 24, 31, 44, 48, 42, 33, 24, 10, 4, -10
1988, -13, -2, 8, 24, 32, 40, 43, 42, 36, 23, 13, 0, -13
1989, 4, 3, 4, 23, 36, 42, 47, 42, 31, 29, 9, -5, -5
1990, 17, -1, 4, 20, 34, 40, 50, 50, 35, 28, 21, 12, -1
1991, -3, 4, 18, 20, 36, 44, 50, 48, 30, 28, 16, 8, -3
1992, -1, 4, 9, 21, 30, 44, 50, 44, 36, 26, 17, 6, -1
1993, 11, -5, 3, 26, 38, 35, 51, 47, 30, 25, 10, -2, -5
1994, -13, -5, 8, 24, 32, 41, 52, 44, 39, 27, 15, 8, -13
1995, 5, -7, 11, 13, 29, 40, 44, 41, 29, 32, 16, 6, -7
1996, 0, -5, 4, 25, 29, 44, 49, 51, 41, 28, 12, 14, -5
1997, 0, 13, 13, 21, 32, 41, 47, 41, 33, 22, 16, 13, 0
1998, 3, 6, 10, 26, 34, 39, 50, M, 31, 31, 20, 8, M
1999, 0, 3, 9, 25, 34, 42, 44, 45, 38, 25, 17, 6, 0
2000, -5, 2, 12, 22, 28, 39, 45, 40, 27, 28, 13, 6, -5
2001, 0, 8, 15, 27, 31, 35, 42, 51, 38, 24, 20, 15, M
2002, 13, 9, 11, 18, 28, 44, 45, 48, 39, 23, 14, 4, M
2003, -2, -2, -10, 19, 30, 38, 50, 45, 36, 24, 19, 16, M
2004, -3, 3, 17, 26, 33, 45, 53, 48, 40, 31, 18, 4, M
2005, -6, 5, 8, 26, 31, 47, 50, 52, 42, 30, 17, 1, M
2006, 10, 10, 16, 29, 36, 48, 54, 48, 39, 27, 26, 13, 10
2007, 4, 3, 6, 23, 34, 42, 48, 52, 40, 30, 20, 13, 3
2008, 8, 5, 11, M, M, 46, M, M, M, M, 19, M, M
2009, M, M, 4, 26, 41, 40, 52, 53, 41, 32, 25, 11, M
2010, 7, 8, 23, 36, 30, 44, 50, 50, 42, 34, 22, 9, 7
2011, -6, 6, 14, 30, 41, 50, 55, M, M, 26, 24, 16, M
2012, 6, 15, 21, 31, 40, 45, 56, 50, 40, 27, 22, 23, M
2013, 4, 12, 20, 27, 35, 46, 56, 50, 39, 29, 14, 8, M
2014, -2, -2, 1, 26, 38, 45, 53, 49, 42, 30, 12, 16, M
2015, 2, -12, 1, 24, 39, 43, 52, 50, 45, 25, 21, 25, -12
2016, 4, -8, 19, 19, 37, 44, 52, 51, 40, 28, 27, 6, -8
2017, 4, 13, 8, 29, 35, 43, 54, 48, 42, M, M, M, M
