Monthly Mean Min Temperature for INDIAN MILLS, NJ

Year, Jan, Feb, Mar, Apr, May, Jun, Jul, Aug, Sep, Oct, Nov, Dec, Annual
1965, 18.0, 22.1, 28.0, 36.3, 50.4, 55.3, 60.6, 59.6, 55.2, 39.6, 33.4, 25.0, 40.3
1966, 21.0, 22.8, 29.6, 34.9, 45.8, 56.2, 60.7, 59.8, 51.3, 38.7, 34.0, 25.3, 40.0
1967, 26.1, 18.0, 27.3, 37.3, 42.1, 55.2, 62.2, 61.3, 49.2, 39.1, 29.2, 25.6, 39.4
1968, 17.5, 17.3, 31.1, 37.1, 45.2, 57.1, 61.0, 60.6, 50.4, 42.8, 36.0, 23.1, 39.9
1969, 21.0, 24.4, 27.8, 40.8, 48.5, 59.1, 63.6, 62.1, 53.9, 41.9, 33.6, 25.2, 41.8
1970, 15.0, 22.8, 27.9, 37.9, 49.8, 57.5, 63.8, 61.9, 55.5, 46.7, 36.8, 26.2, 41.8
1971, 17.8, 25.3, 29.3, 35.1, 46.1, 59.4, 61.1, 60.0, 59.1, 52.4, 33.6, 31.5, 42.6
1972, 24.2, 21.1, 30.1, 34.8, 48.2, 57.0, 64.1, 59.6, 55.8, 38.8, 33.0, 32.8, 41.6
1973, 23.2, 22.3, 35.6, 41.4, 48.1, 62.8, 64.0, 63.8, 54.8, 42.2, 36.2, 28.0, 43.5
1974, 26.3, 21.6, 32.5, 41.1, 48.2, 57.0, 62.0, 62.7, 54.8, 37.4, 33.5, 28.6, 42.1
1975, 26.9, 25.4, 30.5, 35.5, 51.8, 59.2, 63.4, 62.8, 53.2, 48.5, 38.5, 26.1, 43.5
1976, 18.9, 28.7, 33.4, 40.1, 48.3, 60.4, 61.4, 60.0, 51.6, 40.8, 28.1, 19.1, 40.9
1977, 11.3, 23.5, 35.0, 39.5, 48.8, 55.9, 62.5, 62.8, 58.2, 42.5, 39.7, 24.5, 42.0
1978, 19.6, 11.5, 27.7, 37.5, 48.0, 56.6, M, 66.2, 51.9, 41.0, 36.5, 27.1, 38.5
1979, 24.1, 13.8, 33.8, 39.1, 52.0, 55.6, 62.8, 63.1, 55.8, 43.2, 38.4, 27.4, 42.4
1980, 22.5, 18.8, 30.0, 40.9, 50.4, 54.4, 64.1, 64.3, 56.5, 41.3, 32.0, 21.5, 41.4
1981, 15.5, 26.8, 27.9, 42.4, 48.3, 59.2, 63.7, 59.6, 54.2, 39.2, 34.3, 25.2, 41.4
1982, 14.4, 25.3, 29.1, 35.7, 50.3, 56.3, 62.3, 58.0, 53.7, 42.5, 36.5, 32.7, 41.4
1983, 23.9, 22.7, 34.5, 39.5, 48.3, 56.8, 62.7, 62.2, 53.0, 44.7, 35.5, 24.4, 42.3
1984, 16.8, 30.4, 26.5, 38.6, 49.4, 59.4, 63.2, 63.1, 50.0, 50.1, 33.1, 32.1, 42.7
1985, 18.7, 25.8, 32.7, 41.7, 51.9, 56.9, 62.5, 61.5, 54.0, 44.8, 41.7, 21.7, 42.8
1986, M, 23.6, 29.8, 38.8, 49.8, 56.4, 62.9, 59.5, 54.6, 44.3, 32.5, 27.7, 43.6
1987, 21.9, 19.6, 30.2, 39.9, 50.0, 60.0, 64.7, 58.9, 55.3, 36.6, 35.3, 27.5, 41.7
1988, 14.9, 23.7, 30.5, 38.0, 48.6, 54.6, 64.2, 63.8, 50.6, 36.4, 32.6, M, 41.6
1989, M, M, M, M, 47.9, 61.4, 61.6, 63.1, 54.6, 43.0, 32.6, 14.5, 47.3
1990, 29.2, 29.3, 32.5, 39.8, 48.2, 58.2, 64.0, 62.6, 52.6, 47.4, 36.1, 30.0, 44.2
1991, 24.1, 27.6, 33.4, 41.1, 52.4, 56.8, 63.9, 62.2, 52.4, 43.5, 35.8, 28.3, 43.5
1992, 23.7, 25.6, 29.0, 37.3, 44.4, 54.7, 62.7, 58.0, 55.4, 38.3, 35.8, 27.9, 41.1
1993, 28.5, 20.9, 29.1, 40.1, 50.0, 57.5, 62.9, 61.9, 56.1, 42.0, 32.9, 25.8, 42.3
