Monthly Highest Min Temperature for INDIAN MILLS, NJ

Year, Jan, Feb, Mar, Apr, May, Jun, Jul, Aug, Sep, Oct, Nov, Dec, Annual
1965, 39, 47, 39, 48, 67, 69, 77, 71, 67, 59, 51, 44, 77
1966, 52, 44, 46, 55, 62, 70, 72, 71, 65, 55, 55, 49, 72
1967, 43, 36, 43, 57, 57, 66, 70, 68, 66, 57, 50, 42, 70
1968, 37, 36, 49, 51, 58, 69, 69, 71, 66, 63, 49, 43, 71
1969, 41, 34, 47, 59, 67, 68, 71, 73, 69, 66, 58, 45, 73
1970, 37, 39, 40, 54, 63, 67, 72, 71, 73, 64, 58, 44, 73
1971, 37, 45, 41, 47, 63, 72, 73, 73, 71, 66, 66, 55, 73
1972, 47, 41, 57, 52, 64, 68, 73, 71, 68, 62, 51, 50, 73
1973, 46, 41, 46, 59, 67, 72, 71, 75, 70, 63, 55, 52, 75
1974, 42, 43, 58, 59, 65, 67, 71, 71, 68, 59, 61, 51, 71
1975, 43, 47, 54, 54, 66, 69, 73, 70, 69, 62, 62, 42, 73
1976, 43, 48, 48, 59, 65, 72, 72, 71, 68, 59, 50, 38, 72
1977, 26, 42, 59, 66, 63, 69, 73, 73, 71, 63, 61, 46, 73
1978, 39, 27, 47, 49, 67, 70, M, 75, 70, 57, 51, 48, M
1979, 54, 39, 56, 57, 63, 66, 74, 73, 73, 65, 60, 44, 74
1980, 46, 38, 48, 56, 62, 70, 77, 76, 70, 63, 52, 40, 77
1981, 40, 51, 54, 58, 67, 71, 73, 71, 67, 59, 49, 40, 73
1982, 40, 46, 48, 59, 64, 68, 72, 72, 71, 62, 60, 57, 72
1983, 44, 44, 52, 63, 66, 66, 73, 70, 70, 66, 49, 56, 73
1984, 33, 51, 40, 53, 66, 73, 73, 72, 69, 67, 55, 56, 73
1985, 43, 53, 54, 64, 66, 69, 75, 73, 73, 63, 55, 43, 75
1986, 41, 38, 54, 50, 66, 74, 71, 71, 71, 69, 57, 51, 74
1987, 45, 31, 48, 55, 66, 70, 73, 72, 70, 53, 55, 43, 73
1988, 38, 50, 50, 56, 59, 76, 73, 76, 64, 56, 50, M, M
1989, M, M, M, M, 65, 70, 71, 71, 72, 64, 58, 30, M
1990, 47, 57, 61, 56, 64, 71, 72, 70, 69, 69, 52, 58, 72
1991, 40, 52, 56, 65, 71, 70, 72, 73, 74, 60, 61, 57, 74
1992, 45, 46, 45, 60, 60, 69, 74, 70, 69, 54, 59, 47, 74
1993, 54, 35, 47, 57, 68, 68, 72, 69, 74, 58, 64, 47, 74
1994, 31, 35, 49, 57, 64, 73, 76, 77, 67, 56, 62, 51, 77
1995, 57, 39, 51, 54, 63, 69, 78, 74, 70, 69, 60, 44, 78
1996, 39, 48, 52, 65, 73, 69, 72, 69, 74, 55, 63, 47, 74
1997, 45, 54, 52, 61, 59, 71, 70, 74, 68, 58, 51, 39, 74
1998, 62, 47, 63, 59, 65, 72, 70, 73, 68, 65, 48, 52, 73
1999, 48, 42, 43, 53, 60, 74, 74, 75, 73, 65, 55, 51, 75
2000, 54, 45, 53, 58, 70, 73, 72, 72, 73, 60, 54, 43, 73
2001, 34, 46, 40, 62, 64, 72, 75, 73, 68, 61, 60, 55, 75
2002, 55, 49, 54, 64, 65, 76, 75, 73, 70, 71, 63, 40, 76
2003, 37, 35, 52, 60, 59, 67, 73, 73, 71, 60, 59, 47, 73
2004, 44, 36, 57, 65, 70, 71, 72, 72, 74, 58, 53, 48, 74
2005, 46, 38, 45, 56, 58, 74, 75, 76, 73, 70, 61, 41, 76
2006, 50, 43, 52, 58, 65, 73, 74, 76, 70, 60, 56, 62, 76
2007, 60, 31, 52, 66, 67, 72, 72, 78, 72, 69, 48, 41, 78
2008, 55, 46, 49, 56, 64, 73, 74, 72, 75, 59, 57, 45, 75
2009, 36, 49, 56, 64, 62, 65, 72, 75, 64, 58, 54, 50, 75
2010, 37, 34, 54, 68, 67, 76, 74, 76, 70, 66, 55, 43, 76
2011, 38, 51, 49, 66, 68, 69, M, 74, 69, 63, 56, 54, M
2012, 47, 46, 55, 58, 67, 71, 73, 75, 74, 67, 42, 47, 75
2013, 49, 38, 49, 64, 69, 71, 79, 74, 71, 64, 59, 60, 79
2014, 45, 39, 46, 62, 66, 75, 72, 69, 72, 67, 52, 47, 75
2015, 38, 31, 49, 56, 67, 69, 77, 72, 72, 59, 64, 61, 77
2016, 48, 47, 56, 63, 70, 73, 73, 80, 76, 63, 56, 47, 80
2017, 45, 53, 55, 63, 70, 72, 73, 72, M, M, M, M, M
