Monthly Highest Min Temperature for NEW BRUNSWICK EXP/3 SE, NJ

Year, Jan, Feb, Mar, Apr, May, Jun, Jul, Aug, Sep, Oct, Nov, Dec, Annual
1965, 42, 42, 39, 47, 68, 70, 76, 72, 68, 60, 50, 41, 76
1966, 49, 42, 42, 52, 62, 74, 73, 71, 68, 60, 53, 50, 74
1967, 45, 36, 46, 57, 56, 70, 73, 72, 66, 61, 51, 47, 73
1968, 36, 35, 48, 61, 57, 67, 74, 73, 66, 60, 49, 39, M
1969, 40, 34, 42, 59, 67, 69, 72, 73, 70, 60, 56, 38, 73
1970, 36, 36, 40, 55, 63, 66, 71, 71, 71, 63, 55, 38, 71
1971, 32, 44, 39, 47, 58, 70, 71, 71, 69, 65, 65, 46, 71
1972, 39, 34, 40, 58, 63, 65, 78, 70, 68, 59, 50, 42, 78
1973, 42, 39, 46, 64, 59, 73, 73, 72, 72, 60, 55, 46, 73
1974, 38, 35, 48, 62, 62, 68, 74, 74, 67, 55, 56, 39, 74
1975, 42, 42, 45, 53, 66, 70, 73, 74, 65, 60, 57, 44, 74
1976, 37, 45, 52, 62, 62, 72, 68, 70, 66, 62, 43, 33, 72
1977, 23, 38, 60, 65, 64, 67, 73, 72, 71, 60, 61, 41, 73
1978, 40, 26, 44, 49, 67, 70, 77, 76, 62, 57, 51, 46, 77
1979, 52, 37, 53, 55, 65, 67, 74, 75, 71, 60, 59, 45, 75
1980, 36, 35, 44, 53, 63, 66, 77, 76, 70, 56, 47, 41, 77
1981, 29, 48, 56, 58, 65, 72, 77, 70, 67, 55, 46, 36, 77
1982, 35, 37, 42, 56, 61, 66, 75, 70, 67, 62, 56, 55, 75
1983, 36, 38, 46, 59, 64, 70, 73, 71, 69, 62, 48, 45, 73
1984, 34, 43, 38, 49, 65, 71, 72, 71, 65, 62, 55, 51, 72
1985, 42, 49, 59, 60, 64, 68, 70, 73, 72, 58, 51, 42, 73
1986, 44, 35, 49, 51, 64, 70, 76, 71, 66, 70, 55, 40, 76
1987, 35, 31, 53, 53, 69, 70, 73, 76, 69, 51, 55, 41, 76
1988, 35, 47, 49, 49, 59, 66, 72, 75, 65, 57, 51, 42, 75
1989, 38, 41, 55, 48, 60, 72, 71, 72, 72, 61, 61, 27, 72
1990, 42, 38, 60, 53, 57, 69, 71, 71, 68, 66, 51, 55, 71
1991, 40, 41, 48, 62, 68, 73, 72, 71, 71, 62, 60, 48, 73
1992, 42, 41, 48, 53, 58, 66, 69, 69, 66, 55, 57, 44, 69
1993, 42, 33, 48, 55, 59, 68, 75, 69, 71, 56, 48, 39, 75
1994, 35, 34, 39, 50, 61, 71, 75, 71, 65, 50, 49, 48, 75
1995, 56, 34, 45, 53, 61, 69, 75, 74, 67, 66, 60, 35, 75
1996, 33, 45, 42, 52, 69, 67, 71, 68, 70, 55, 57, 46, 71
1997, 43, 45, 49, 48, 55, 69, 72, 71, 67, 55, 56, 40, 72
1998, 59, 40, 58, 63, 63, 72, 72, 72, 69, 61, 42, 49, 72
1999, 40, 40, 44, 49, 60, 74, 79, 77, 73, 61, 54, 44, 79
2000, 48, 43, 46, 56, 67, 74, 71, 73, 73, 59, 51, 37, 74
2001, 34, 37, 41, 58, 64, 69, 73, 75, 71, 60, 57, 54, 75
2002, 42, 39, 47, 64, 61, 73, 77, 74, 70, 62, 57, 40, 77
2003, 37, 35, 47, 48, 55, 71, 73, 79, 71, 61, 54, 42, 79
2004, 48, 33, 49, 52, 67, 71, 71, 75, 71, 55, 51, 46, 75
2005, 43, 37, 41, 57, 59, 75, 76, 77, 73, 71, 54, 39, 77
2006, 40, 36, 47, 56, 66, 73, 75, 79, 64, 59, 57, 56, 79
2007, 43, 32, 49, 54, 64, 70, 74, 78, 73, 68, 42, 37, 78
2008, 50, 40, 44, 55, 62, 73, 75, 67, 70, 57, 58, 39, 75
2009, 35, 43, 44, 59, 61, 66, 70, 78, 66, 57, 53, 40, 78
2010, 37, 35, 46, 56, 69, 77, 78, 74, 69, 62, 50, 46, 78
2011, 33, 43, 47, 69, 68, 70, 78, 74, 70, 61, 53, 58, 78
2012, 40, 37, 52, 60, 71, 71, 75, 75, 72, 64, 43, 48, 75
2013, 43, 39, 40, 58, 66, 72, 79, 72, 71, 64, 53, 57, 79
2014, 40, 35, 44, 62, 64, 75, 72, 67, 71, 65, 57, 45, 75
2015, 36, 26, 39, 50, 67, 72, 76, 73, 71, 58, 55, 59, 76
2016, 41, 45, 56, 61, 68, 69, 74, 76, 75, 62, 49, 50, 76
2017, 49, 54, 48, 63, 73, 76, 74, 71, 66, M, M, M, M
