Monthly Highest Min Temperature for NEWARK LIBERTY INTL AP, NJ

Year, Jan, Feb, Mar, Apr, May, Jun, Jul, Aug, Sep, Oct, Nov, Dec, Annual
1965, 39, 45, 41, 52, 71, 73, 77, 75, 70, 60, 49, 45, 77
1966, 48, 40, 43, 52, 64, 74, 78, 73, 69, 54, 58, 48, 78
1967, 45, 37, 44, 57, 57, 72, 73, 73, 67, 64, 55, 42, 73
1968, 38, 37, 48, 51, 59, 70, 80, 75, 71, 65, 50, 45, 80
1969, 43, 33, 43, 60, 71, 72, 75, 75, 73, 68, 56, 43, 75
1970, 37, 37, 44, 56, 70, 70, 74, 74, 74, 65, 59, 46, 74
1971, 35, 43, 43, 51, 61, 75, 76, 75, 73, 67, 69, 47, 76
1972, 46, 38, 58, 51, 65, 69, 80, 75, 72, 64, 51, 45, 80
1973, 44, 38, 49, 61, 64, 74, 79, 79, 79, 67, 53, 54, 79
1974, 46, 39, 50, 63, 67, 74, 77, 73, 71, 57, 57, 50, 77
1975, 50, 43, 44, 50, 67, 73, 74, 80, 67, 62, 63, 43, 80
1976, 37, 45, 48, 67, 66, 75, 73, 75, 70, 63, 50, 35, 75
1977, 25, 42, 58, 59, 69, 73, 78, 75, 73, 58, 61, 39, 78
1978, 36, 28, 46, 50, 67, 75, 80, 77, 68, 65, 54, 48, 80
1979, 47, 37, 52, 57, 70, 70, 79, 78, 75, 64, 62, 47, 79
1980, 41, 38, 43, 55, 69, 71, 81, 78, 75, 61, 45, 47, 81
1981, 35, 47, 55, 61, 69, 74, 80, 73, 70, 57, 48, 45, 80
1982, 36, 44, 45, 59, 65, 69, 80, 75, 68, 64, 60, 58, 80
1983, 43, 46, 52, 63, 69, 75, 80, 76, 76, 67, 50, 50, 80
1984, 36, 51, 40, 58, 67, 77, 75, 77, 70, 66, 59, 45, 77
1985, 39, 51, 62, 64, 70, 70, 74, 80, 77, 64, 59, 43, 80
1986, 42, 38, 56, 54, 72, 73, 77, 76, 69, 70, 53, 44, 77
1987, 45, 32, 49, 56, 75, 73, 77, 78, 71, 54, 53, 44, 78
1988, 37, 42, 50, 51, 73, 76, 78, 81, 69, 61, 53, 38, 81
1989, 42, 42, 53, 56, 71, 73, 76, 78, 75, 65, 60, 30, 78
1990, 46, 50, 57, 66, 59, 73, 78, 73, 73, 70, 54, 58, 78
1991, 43, 42, 48, 66, 72, 76, 77, 75, 76, 65, 61, 50, 77
1992, 42, 42, 45, 58, 66, 74, 77, 77, 71, 60, 59, 48, 77
1993, 42, 34, 51, 56, 71, 76, 84, 78, 78, 58, 57, 43, 84
1994, 36, 43, 47, 57, 65, 79, 79, 75, 72, 60, 58, 54, 79
1995, 53, 35, 47, 58, 63, 74, 82, 78, 74, 67, 57, 36, 82
1996, 38, 47, 43, 62, 72, 70, 73, 70, 74, 58, 63, 46, 74
1997, 43, 46, 50, 51, 59, 73, 76, 74, 69, 63, 58, 39, 76
1998, 46, 43, 63, 56, 66, 74, 77, 76, 71, 62, 49, 53, 77
1999, 41, 43, 48, 51, 64, 76, 82, 80, 74, 61, 56, 52, 82
2000, 50, 43, 51, 57, 73, 74, 72, 75, 74, 57, 52, 34, 75
2001, 35, 37, 41, 57, 67, 76, 77, 82, 68, 62, 56, 52, 82
2002, 45, 49, 51, 74, 65, 74, 82, 79, 71, 65, 60, 41, 82
2003, 37, 37, 50, 55, 59, 78, 75, 75, 70, 61, 56, 44, 78
2004, 43, 35, 51, 56, 68, 74, 74, 74, 69, 58, 52, 45, 74
2005, 45, 44, 45, 61, 63, 79, 78, 80, 76, 70, 57, 43, 80
2006, 42, 46, 49, 57, 65, 74, 79, 81, 65, 62, 58, 49, 81
2007, 55, 36, 49, 59, 69, 72, 76, 76, 73, 68, 48, 39, 76
2008, 46, 44, 43, 61, 64, 74, 76, 73, 71, 61, 58, 47, 76
2009, 38, 44, 51, 68, 63, 67, 73, 77, 69, 65, 55, 47, 77
2010, 47, 36, 51, 61, 69, 80, 82, 79, 76, 62, 52, 40, 82
2011, 36, 47, 51, 63, 71, 72, 86, 77, 72, 62, 56, 53, 86
2012, 42, 46, 57, 63, 70, 79, 77, 76, 73, 65, 46, 45, 79
2013, 43, 38, 43, 55, 72, 74, 82, 74, 75, 65, 59, 57, 82
2014, 40, 35, 44, 62, 68, 75, 73, 72, 75, 69, 51, 45, 75
2015, 39, 31, 42, 59, 70, 74, 80, 77, 75, 60, 64, 59, 80
2016, 42, 42, 59, 62, 71, 73, 80, 80, 78, 64, 57, 41, 80
2017, 46, 53, 52, 65, 74, 77, 76, 73, 69, M, M, M, M
