Monthly Lowest Min Temperature for NEWARK LIBERTY INTL AP, NJ

Year, Jan, Feb, Mar, Apr, May, Jun, Jul, Aug, Sep, Oct, Nov, Dec, Annual
1965, 5, 10, 18, 30, 47, 51, 60, 50, 42, 30, 26, 18, 5
1966, 7, 7, 22, 32, 35, 50, 60, 61, 46, 31, 28, 16, 7
1967, 13, 4, 8, 31, 40, 49, 59, 59, 44, 35, 20, 20, 4
1968, 1, 7, 18, 32, 40, 53, 60, 55, 51, 33, 28, 8, 1
1969, 10, 15, 18, 28, 44, 53, 59, 59, 49, 28, 24, 13, 10
1970, 2, 9, 21, 29, 38, 53, 63, 63, 48, 36, 23, 18, 2
1971, 7, 7, 26, 34, 42, 55, 63, 53, 48, 45, 29, 21, 7
1972, 7, 9, 19, 26, 43, 46, 59, 56, 50, 31, 23, 19, 7
1973, 12, 8, 30, 35, 42, 59, 59, 60, 50, 40, 27, 17, 8
1974, 6, 11, 22, 31, 42, 55, 61, 61, 41, 31, 22, 25, 6
1975, 12, 14, 16, 26, 43, 53, 61, 60, 45, 29, 30, 13, 12
1976, -1, 9, 19, 27, 40, 52, 60, 48, 43, 29, 16, 8, -1
1977, -2, 7, 24, 26, 37, 50, 57, 55, 49, 36, 27, 11, -2
1978, 10, 9, 10, 31, 36, 49, 56, 61, 45, 38, 24, 18, 9
1979, 6, -1, 20, 31, 44, 48, 54, 55, 44, 35, 29, 19, -1
1980, 15, 9, 7, 30, 46, 46, 59, 59, 45, 33, 21, -1, -1
1981, -1, 5, 10, 31, 42, 56, 59, 56, 44, 32, 24, 13, -1
1982, -7, 15, 19, 16, 49, 51, 58, 45, 50, 32, 19, 13, -7
1983, 10, 10, 25, 34, 40, 53, 60, 56, 46, 33, 30, 2, 2
1984, -1, 14, 10, 35, 43, 47, 61, 59, 42, 39, 21, 22, -1
1985, -8, 7, 18, 30, 41, 52, 61, 60, 49, 34, 33, 13, -8
1986, 7, 14, 13, 33, 38, 49, 56, 48, 46, 38, 21, 16, 7
1987, 6, 5, 16, 31, 43, 55, 63, 55, 46, 36, 18, 9, 5
1988, 7, 9, 18, 35, 45, 50, 54, 60, 50, 31, 31, 6, 6
1989, 11, 16, 14, 34, 43, 56, 62, 56, 45, 39, 20, 7, 7
1990, 22, 8, 13, 32, 43, 51, 58, 58, 44, 35, 29, 21, 8
1991, 9, 15, 24, 34, 46, 53, 65, 62, 44, 39, 27, 14, 9
1992, 10, 13, 17, 31, 41, 51, 60, 57, 44, 35, 29, 18, 10
1993, 21, 5, 14, 35, 47, 52, 66, 62, 46, 38, 25, 11, 5
1994, -2, 8, 21, 36, 44, 54, 66, 56, 53, 41, 25, 20, -2
1995, 15, 5, 20, 23, 44, 57, 60, 62, 49, 39, 24, 14, 5
1996, 6, 3, 10, 33, 38, 55, 61, 60, 48, 35, 22, 14, 3
1997, 3, 18, 24, 28, 42, 49, 58, 57, 44, 30, 26, 17, 3
1998, 14, 18, 19, 37, 43, 50, 63, 57, 46, 41, 31, 17, 14
1999, 10, 14, 18, 34, 43, 55, 57, 59, 48, 37, 28, 18, 10
2000, 4, 20, 22, 30, 43, 50, 59, 57, 42, 35, 22, 12, 4
2001, 12, 16, 23, 33, 44, 50, 56, 63, 48, 35, 31, 19, 12
2002, 19, 19, 19, 28, 39, 54, 60, 60, 53, 36, 24, 18, 18
2003, 6, 8, 11, 29, 43, 49, 65, 60, 49, 34, 29, 20, 6
2004, 0, 13, 23, 30, 42, 54, 63, 55, 48, 39, 27, 10, 0
2005, 3, 16, 15, 35, 39, 54, 61, 64, 48, 38, 21, 11, 3
2006, 15, 14, 23, 33, 45, 52, 62, 59, 46, 33, 32, 18, 14
2007, 9, 8, 12, 30, 42, 54, 56, 57, 47, 38, 25, 20, 8
2008, 14, 10, 26, 33, 37, 56, 65, 56, 51, 33, 23, 12, 10
2009, 5, 12, 12, 33, 42, 49, 58, 59, 48, 37, 31, 16, 5
2010, 14, 16, 28, 38, 40, 55, 63, 59, 51, 38, 30, 17, 14
2011, 5, 14, 22, 37, 44, 55, 65, 56, 51, 32, 32, 23, 5
2012, 12, 20, 25, 38, 48, 51, 64, 59, 48, 34, 27, 25, 12
2013, 11, 15, 25, 31, 42, 54, 64, 58, 47, 33, 21, 17, 11
2014, 3, 7, 12, 31, 47, 53, 61, 58, 50, 39, 21, 23, 3
2015, 6, 1, 11, 33, 46, 49, 63, 63, 54, 31, 27, 33, 1
2016, 10, 0, 26, 26, 40, 53, 62, 59, 51, 37, 32, 16, 0
2017, 12, 18, 14, 36, 43, 52, 60, 59, 49, M, M, M, M
