Monthly Lowest Min Temperature for SEABROOK FARMS, NJ

Year, Jan, Feb, Mar, Apr, May, Jun, Jul, Aug, Sep, Oct, Nov, Dec, Annual
1965, 4, 7, 15, 22, 44, 48, 51, 46, 41, 26, 20, 14, 4
1966, 3, 3, 22, 29, 30, 43, 51, 56, 42, 27, 25, 5, 3
1967, 13, -4, 11, 27, 35, 42, 55, 57, 41, 30, 18, 3, -4
1968, -8, 5, 15, 27, 36, 49, 55, 50, 44, 28, 27, 12, -8
1969, 11, 19, 18, 22, 40, 51, 55, 51, 40, 23, 18, 15, 11
1970, 2, 9, 18, 27, 33, 51, 57, 53, 41, 36, 20, 15, 2
1971, 10, 4, 21, 28, 37, 50, 49, 49, 43, 41, 22, 16, 4
1972, 0, 7, 19, 25, 39, 41, 55, 50, 45, 26, 21, 20, 0
1973, 12, 8, 25, 28, 39, 54, 55, 53, 47, 34, 21, 10, 8
1974, 13, 0, 21, 29, 35, 50, 53, 50, 36, 28, 20, 21, 0
1975, 16, 15, 18, 24, 40, 49, 53, 56, 40, 27, 27, 14, 14
1976, 4, 7, 20, 27, 37, 44, 50, 44, 41, 24, 15, 8, 4
1977, -2, 9, 23, 25, 38, 43, 52, 50, 42, 33, 26, M, M
1978, M, 2, 9, 32, 34, 45, 50, 57, 36, 29, M, M, M
1979, M, M, M, M, M, M, M, M, M, M, M, M, M
1980, M, M, M, M, M, M, M, M, M, M, M, M, M
1981, M, M, M, M, M, M, M, M, M, M, M, M, M
1982, M, M, M, M, M, M, M, M, M, M, M, M, M
1983, M, M, M, M, M, M, M, M, M, M, M, M, M
1984, M, M, M, M, M, M, 53, 52, 40, 35, 18, 20, M
1985, -24, 11, 19, 24, 37, 51, 56, 52, 41, 27, 32, 6, -24
1986, 5, 10, 10, 33, 35, 45, 51, 44, 43, 36, 20, 15, 5
1987, -5, 9, 18, 28, 37, 48, 58, 53, 43, 33, 21, 14, -5
1988, -1, 8, 20, 33, 41, 47, 50, 55, 48, 27, 28, 8, -1
1989, 12, 14, 16, 31, 41, 54, 59, 54, 40, 35, 17, 5, 5
1990, 22, 11, 17, 29, 40, 46, 59, 59, 42, 31, 27, 19, 11
1991, 11, 17, 24, 29, 40, 50, 62, 60, 42, 33, 22, 17, 11
1992, 10, 13, 17, 29, 37, 46, 58, 52, 41, 30, 25, 14, 10
1993, 20, 5, 14, 32, 44, 46, 59, 58, 43, 36, 25, 13, 5
1994, -6, 10, 17, 32, 38, 50, 62, 53, 49, 35, 25, 19, -6
1995, 14, 6, 21, 26, 39, 55, 58, 55, 49, 39, 24, 13, 6
1996, 8, 0, 12, 32, 37, 48, 58, 58, 45, 32, 20, 15, 0
1997, 7, 17, 23, 29, 36, 44, 58, 50, 42, 30, 24, 22, 7
1998, 16, 21, 20, 33, 42, 49, 57, 54, 44, 35, 29, 10, 10
1999, 11, 15, 18, 33, 42, 53, 56, 57, 48, 35, 27, 18, 11
2000, 5, 16, 24, 30, 36, 52, 54, 52, 41, 35, 21, 9, 5
2001, 13, 18, 21, 30, 39, 47, 54, 58, 44, 30, 25, 18, 13
2002, 17, 18, 17, 28, 39, 53, 58, 58, 55, 34, 23, 13, 13
2003, 7, 10, 16, 30, 38, 49, 61, 56, 46, 31, 25, 22, 7
2004, 5, 10, 22, 31, 44, 53, 60, 55, 48, 36, 27, 11, 5
2005, 4, 12, 18, 32, 37, 52, 61, 56, 45, 33, 23, 15, 4
2006, 24, 16, 25, 35, 41, 52, 62, 51, 40, 29, 28, 22, M
2007, 10, 8, 10, 28, 39, 52, 54, 58, 45, 37, 25, 15, M
2008, 15, 12, 26, 31, 43, 54, 61, 56, 49, 32, 23, 14, M
2009, 4, 8, 6, 28, 37, 48, 56, 62, 47, 36, 28, 15, M
2010, 12, 12, 29, 37, 40, 57, 57, 56, 49, 40, 27, 18, 12
2011, 8, 15, 22, 35, 44, 51, 61, 58, 47, 30, 31, 24, 8
2012, 14, 19, 24, 34, 46, 51, 64, 61, 47, 34, 26, 26, 14
2013, 11, 19, 27, 27, 39, 50, 63, 54, 40, 34, 20, 20, 11
2014, 0, 10, 7, 31, 44, 44, 58, 54, 45, 35, 19, 21, 0
2015, 9, 1, 4, 30, 41, 52, 62, 54, 53, 30, 28, 27, 1
2016, 12, 9, 23, 27, 31, 51, 59, 57, 49, 32, 26, 13, 9
2017, 3, 20, 14, 30, 34, 47, 57, 57, 51, M, M, M, M
