Monthly Highest Min Temperature for CHARLOTTEBURG RSVR, NJ

Year, Jan, Feb, Mar, Apr, May, Jun, Jul, Aug, Sep, Oct, Nov, Dec, Annual
1965, 34, 33, 33, 45, 67, 68, 68, 70, 66, 53, 41, 37, 70
1966, 49, 34, 39, 42, 59, 70, 68, 70, 64, 49, 54, 51, 70
1967, 38, 42, 34, 58, 58, 63, 67, 66, 59, 58, 43, 39, 67
1968, 33, 32, 41, 49, 56, 63, 73, 67, 63, 58, 48, 36, 73
1969, 35, 30, 37, 53, 62, 67, 70, 69, 65, 55, 51, 37, 70
1970, 37, 34, 34, 50, 58, 65, 67, 69, 66, 60, 52, 31, 69
1971, 31, 33, 33, 42, 50, 67, 69, 66, 67, 60, 59, 40, 69
1972, 37, 33, 35, 57, 58, 65, 72, 65, 63, 56, 44, 39, 72
1973, 36, 33, 44, 60, 50, 66, 69, 69, 68, 54, 46, 44, 69
1974, 43, 33, 48, 58, 60, 65, 69, 68, 61, 51, 53, 37, 69
1975, 42, 40, 38, 46, 60, 68, 68, 69, 63, 57, 51, 40, 69
1976, 32, 37, 37, 59, 61, 67, 67, 66, 63, 57, 41, 30, 67
1977, 19, 38, 49, 61, 62, 62, 69, 68, 67, 56, 57, 35, 69
1978, 30, 23, 36, 43, 59, 65, 69, 70, 63, 53, 45, 43, 70
1979, 47, 34, 47, 54, 65, 63, 68, 70, 68, 57, 55, 39, 70
1980, 34, 31, 40, 47, 59, 64, 69, M, 68, 49, 42, 37, M
1981, 31, 48, 50, 53, 62, 69, 72, 63, 64, 52, 43, 31, 72
1982, 31, 33, 41, 50, 57, 61, 71, 63, 60, 54, 60, 50, 71
1983, 34, 35, 44, 55, 60, 64, 72, 67, 66, 56, 45, 34, M
1984, 29, 39, 32, 46, 56, 68, 70, 68, 59, 60, 44, 32, 70
1985, 26, 38, 38, 50, 60, 62, 68, 72, 70, 50, 48, 40, M
1986, 38, 32, 52, 50, 61, 66, 68, 67, 62, 68, 47, 34, 68
1987, 32, 29, 46, 56, 63, 68, 68, 70, 66, 48, 52, 38, 70
1988, 33, 38, 44, 44, 60, 64, 71, 75, 60, 52, 44, 33, 75
1989, 36, 38, 52, 44, 60, 69, 70, 70, 69, 58, 57, 23, 70
1990, 37, 39, 48, 60, 57, 66, 73, 67, 63, 63, 44, 45, 73
1991, 33, 36, 44, 58, 68, 70, 72, 68, 70, 58, 50, 45, 72
1992, 39, 36, 44, 51, 57, 64, 67, 66, 64, 50, 55, 38, 67
1993, 38, 29, 41, 50, 60, 66, 73, 66, 70, 51, 57, 36, 73
1994, 33, 36, 36, 51, 57, 69, 69, 68, 60, 46, 45, 42, 69
1995, 49, 27, 38, 47, 56, 65, 70, 66, 55, 61, 54, 32, 70
1996, 31, 39, 37, 51, 72, 67, 69, 64, 67, 50, 51, 41, 72
1997, 37, 39, 43, 45, 51, 68, 67, 65, 60, 53, 48, 36, 68
1998, 43, 35, 55, 57, 58, 70, 66, M, 60, 53, 41, 43, M
1999, 34, 33, 40, 44, 52, 70, 69, 65, 66, 55, 48, 41, 70
2000, 42, 32, 40, 51, 61, 67, 60, 66, 65, 52, 45, 28, 67
2001, 33, 33, 36, 53, 57, 66, 71, 68, 62, 54, 47, 48, M
2002, 38, 38, 43, 62, 57, 67, 75, 69, 58, 56, 44, 33, M
2003, 28, 28, 38, 42, 50, 65, 69, 71, 64, 54, 50, 34, M
2004, 41, 32, 45, 49, 63, 68, 65, 71, 65, 50, 44, 42, M
2005, 43, 35, 42, 51, 56, 72, 72, 70, 70, 67, 49, 33, M
2006, 36, 38, 45, 51, 64, 69, 72, 77, 62, 53, 55, 52, 77
2007, 47, 30, 45, 52, 62, 67, 71, 70, 68, 66, 40, 33, 71
2008, 36, 33, 36, M, M, 69, M, M, M, M, 56, M, M
2009, M, M, 45, 56, 61, 64, 67, 70, 67, 54, 52, 36, M
2010, 34, 32, 48, 53, 65, 71, 76, 73, 66, 59, 48, 40, 76
2011, 29, 37, 40, 63, 66, 68, 74, M, M, 56, 50, 47, M
2012, 38, 36, 53, 55, 68, 70, 74, 70, 69, 61, 39, 43, M
2013, 36, 32, 36, 49, 63, 70, 77, 66, 72, 63, 49, 48, M
2014, 38, 28, 38, 59, 59, 73, 70, 65, 68, 66, 53, 42, M
2015, 34, 23, 34, 50, 66, 70, 72, 70, 67, 49, 55, 46, 72
2016, 35, 38, 51, 57, 64, 68, 70, 73, 72, 58, 47, 45, 73
2017, 42, 43, 44, 61, 67, 69, 70, 68, 64, M, M, M, M
