Monthly Mean Min Temperature for NEW BRUNSWICK EXP/3 SE, NJ

Year, Jan, Feb, Mar, Apr, May, Jun, Jul, Aug, Sep, Oct, Nov, Dec, Annual
1965, 19.8, 23.8, 30.0, 38.3, 52.7, 58.2, 62.8, 62.8, 58.8, 43.6, 35.9, 29.2, 43.0
1966, 22.8, 24.8, 32.0, 37.9, 47.8, 59.9, 64.2, 63.2, 55.5, 43.4, 37.9, 28.0, 43.1
1967, 28.1, 20.5, 28.6, 39.2, 44.1, 59.5, 64.8, 63.5, 54.1, 44.1, 33.1, 30.0, 42.5
1968, 19.5, 21.1, 33.4, 41.8, 48.7, 59.3, 65.6, 63.7, 56.5, 46.9, 36.8, 24.0, 50.4
1969, 21.7, 24.8, 28.8, 42.7, 50.4, 59.6, 64.3, 63.3, 55.4, 42.8, 35.9, 24.6, 42.9
1970, 15.5, 22.3, 28.7, 40.2, 51.0, 58.9, 65.4, 64.4, 56.8, 46.7, 39.0, 26.1, 42.9
1971, 17.5, 24.9, 30.3, 37.5, 48.2, 60.5, 63.0, 61.8, 60.3, 50.7, 35.4, 30.4, 43.4
1972, 23.8, 20.2, 28.9, 37.8, 50.4, 57.8, 66.2, 61.8, 56.4, 40.2, 35.0, 31.2, 42.5
1973, 25.4, 22.1, 36.6, 43.0, 48.5, 63.6, 65.3, 65.2, 55.0, 44.2, 37.0, 28.9, 44.6
1974, 25.0, 20.8, 31.4, 42.9, 49.4, 57.3, 64.0, 64.8, 55.7, 40.3, 36.7, 30.1, 43.2
1975, 27.4, 27.4, 30.1, 36.9, 53.7, 60.7, 64.8, 64.1, 53.4, 48.7, 40.7, 27.3, 44.6
1976, 17.6, 26.7, 32.9, 42.2, 49.1, 61.4, 61.5, 61.0, 53.5, 42.3, 30.8, 20.1, 41.6
1977, 11.5, 22.7, 36.1, 41.7, 50.1, 57.3, 64.8, 64.0, 57.9, 43.1, 39.5, 24.6, 42.8
1978, 19.0, 14.9, 28.8, 39.5, 49.5, 58.4, 63.1, 65.8, 51.9, 40.4, 36.4, 26.4, 41.2
1979, 22.9, 13.1, 33.0, 39.4, 52.1, 56.1, 62.9, 63.2, 54.4, 43.7, 38.5, 28.1, 42.3
1980, 22.5, 19.0, 29.1, 41.2, 50.6, 54.7, 64.9, 65.5, 56.6, 41.6, 31.0, 19.1, 41.3
1981, 12.6, 25.1, 28.7, 42.3, 49.5, 59.6, 65.9, 60.7, 54.8, 38.7, 35.1, 24.6, 41.5
1982, 13.0, 25.1, 28.6, 36.3, 50.8, 56.8, 62.4, 58.8, 54.4, 42.1, 37.0, 30.6, 41.3
1983, 23.3, 22.9, 34.8, 40.4, 47.8, 57.7, 64.1, 63.5, 54.7, 44.7, 35.5, 24.0, 42.8
1984, 16.6, 28.1, 25.6, 39.2, 49.0, 60.6, 62.7, 63.6, 50.1, 47.8, 33.4, 30.9, 42.3
1985, 18.0, 24.3, 31.8, 41.8, 51.5, 56.8, 62.7, 62.5, 55.9, 44.4, 40.0, 23.9, 42.8
1986, 21.5, 22.6, 31.2, 40.5, 50.8, 57.5, 64.7, 61.0, 53.9, 44.2, 32.4, 27.9, 42.3
1987, 21.6, 20.5, 33.0, 41.2, 49.6, 61.0, 65.9, 61.7, 56.4, 38.2, 36.2, 29.1, 42.9
1988, 14.4, 23.3, 30.7, 38.1, 49.5, 55.7, 65.7, 65.5, 52.9, 39.9, 35.9, 23.4, 41.2
1989, 24.3, 23.3, 29.5, 37.6, 48.7, 62.3, 63.0, 62.9, 55.8, 42.5, 32.9, 14.9, 41.5
1990, 28.7, 24.9, 31.5, 38.8, 48.3, 58.3, 64.9, 64.0, 52.4, 47.1, 35.6, 30.7, 43.8
1991, 21.4, 26.5, 32.7, 42.3, 53.3, 59.4, 64.2, 63.8, 52.2, 43.9, 35.5, 28.6, 43.7
1992, 23.5, 25.0, 28.5, 37.3, 46.7, 55.5, 62.4, 58.6, 54.7, 37.7, 35.9, 26.8, 41.1
1993, 26.7, 18.1, 27.3, 39.1, 49.0, 57.1, 65.5, 62.8, 54.8, 40.5, 31.9, 25.4, 41.5
1994, 14.7, 16.9, 28.8, 39.7, 46.2, 61.6, 67.7, 60.2, 54.1, 39.4, 37.0, 28.8, 41.3
1995, 27.3, 17.5, 33.1, 36.7, 47.9, 59.8, 65.8, 62.7, 54.3, 45.3, 30.6, 22.5, 42.0
1996, 19.1, 22.9, 25.8, 40.1, 47.6, 59.5, 62.5, 62.3, 57.0, 43.4, 31.1, 31.6, 41.9
1997, 21.0, 27.6, 30.9, 37.2, 45.9, 56.4, 61.9, 60.2, 52.8, 42.2, 32.9, 27.5, 41.4
1998, 31.0, 30.0, 34.3, 40.7, 52.5, 59.0, 63.8, 62.8, 55.7, 44.8, 32.3, 30.2, 44.8
1999, 22.0, 25.4, 30.3, 39.6, 49.3, 60.0, 67.9, 64.2, 57.7, 40.0, 38.3, 28.4, 43.6
2000, 21.3, 26.2, 33.7, 40.7, 51.8, 61.2, 61.5, 62.7, 53.9, 42.1, 33.1, 20.3, 42.4
2001, 20.2, 25.3, 29.2, 39.9, 50.4, 60.2, 59.5, 65.3, 52.7, 42.1, 36.3, 31.2, 42.7
2002, 28.5, 26.5, 32.4, 42.6, 47.1, 59.2, 65.3, 63.9, 55.8, 43.7, 33.3, 25.2, 43.6
2003, 18.9, 18.4, 29.2, 37.9, 47.7, 58.5, 64.8, 67.4, 58.1, 40.5, 37.7, 26.7, 42.2
2004, 16.7, 22.4, 32.6, 41.1, 54.4, 59.4, 64.3, 64.2, 58.0, 43.6, 36.8, 26.5, 43.3
2005, 21.1, 24.0, 28.5, 40.8, 45.6, 62.7, 67.3, 67.9, 58.4, 47.8, 37.7, 25.1, 43.9
2006, 28.9, 24.1, 31.9, 42.3, 50.9, 61.9, 67.5, 64.8, 55.2, 42.3, 40.7, 33.1, 45.3
2007, 27.3, 18.3, 29.1, 38.7, 50.6, 60.2, 63.5, 64.3, 56.2, 51.8, 33.7, 28.4, 43.5
2008, 25.6, 24.7, 30.9, 42.4, 46.3, 62.0, 66.3, 59.1, 57.3, 40.5, 34.9, 26.7, 43.1
2009, 18.4, 22.9, 30.4, 39.9, 51.1, 59.3, 61.5, 66.2, 56.2, 42.4, 40.6, 26.0, 42.9
2010, 22.5, 24.0, 36.1, 42.5, 53.1, 62.8, 67.2, 64.7, 57.6, 45.0, 33.9, 23.6, 44.4
2011, 17.9, 22.1, 31.5, 44.7, 53.5, 61.1, 66.7, 64.0, 61.0, 45.5, 36.5, 30.5, 44.6
2012, 24.9, 27.8, 38.6, 41.5, 55.9, 59.6, 67.4, 64.8, 56.6, 46.7, 32.0, 31.8, 45.6
2013, 26.1, 23.7, 30.3, 41.1, 49.9, 61.3, 69.8, 62.1, 52.6, 45.5, 32.9, 26.7, 43.5
