Monthly Lowest Min Temperature for NEW BRUNSWICK EXP/3 SE, NJ

Year, Jan, Feb, Mar, Apr, May, Jun, Jul, Aug, Sep, Oct, Nov, Dec, Annual
1965, 0, 5, 15, 24, 42, 47, 53, 46, 41, 28, 25, 13, 0
1966, 5, 5, 20, 29, 32, 44, 53, 52, 41, 25, 23, 11, 5
1967, 9, -2, 2, 26, 35, 47, 56, 55, 39, 29, 19, 12, -2
1968, -1, 7, 15, 28, 36, 50, 54, 50, 47, 31, 27, 9, M
1969, 8, 14, 17, 22, 39, 47, 55, 49, 41, 25, 19, 11, 8
1970, 1, 7, 17, 27, 34, 50, 59, 55, 42, 30, 19, 14, 1
1971, 3, 4, 23, 27, 40, 50, 52, 46, 40, 40, 24, 18, 3
1972, 4, 7, 16, 23, 38, 41, 55, 49, 43, 26, 19, 16, 4
1973, 10, 5, 20, 30, 36, 54, 53, 53, 43, 35, 21, 15, 5
1974, 7, 9, 21, 27, 33, 50, 55, 55, 36, 25, 20, 23, 7
1975, 11, 13, 17, 26, 39, 48, 54, 55, 39, 27, 29, 13, 11
1976, -1, 9, 17, 25, 37, 45, 50, 43, 39, 26, 14, 6, -1
1977, -5, 5, 22, 24, 34, 45, 53, 48, 43, 31, 25, 10, -5
1978, 9, 5, 9, 29, 33, 45, 51, 58, 36, 27, 22, 14, 5
1979, 3, -7, 15, 26, 38, 43, 48, 45, 36, 28, 24, 16, -7
1980, 11, 10, 6, 27, 34, 40, 54, 52, 38, 26, 20, -7, -7
1981, -7, 7, 14, 26, 34, 49, 55, 49, 39, 25, 20, 8, -7
1982, -8, 15, 16, 16, 39, 47, 45, 40, 44, 27, 17, 10, -8
1983, 10, 2, 22, 29, 30, 47, 52, 51, 37, 25, 24, 1, 1
1984, -13, 5, 6, 29, 35, 43, 50, 50, 38, 32, 20, 22, -13
1985, -6, 5, 18, 24, 33, 45, 52, 53, 42, 30, 30, 8, -6
1986, 5, 8, 12, 27, 32, 41, 47, 42, 39, 31, 15, 11, 5
1987, -3, 3, 15, 29, 36, 46, 52, 45, 39, 28, 18, 8, -3
1988, -5, 7, 16, 31, 37, 42, 49, 51, 45, 26, 26, 4, -5
1989, 9, 13, 12, 28, 36, 49, 55, 51, 35, 31, 13, 2, 2
1990, 20, 7, 12, 26, 35, 46, 56, 56, 40, 30, 24, 17, 7
1991, 5, 15, 22, 29, 38, 47, 57, 53, 37, 30, 19, 13, 5
1992, 9, 10, 14, 28, 37, 41, 53, 50, 38, 28, 21, 11, 9
1993, 19, 2, 11, 30, 42, 42, 55, 56, 36, 32, 16, 10, 2
1994, -5, 4, 13, 28, 36, 47, 59, 50, 44, 31, 22, 15, -5
1995, 12, 3, 18, 21, 37, 50, 54, 52, 45, 34, 19, 12, 3
1996, 2, -4, 8, 29, 32, 44, 53, 55, 43, 31, 16, 16, -4
1997, 3, 14, 18, 26, 37, 44, 50, 53, 36, 26, 20, 17, 3
1998, 13, 17, 17, 31, 39, 45, 55, 50, 39, 34, 26, 11, 11
1999, 7, 12, 16, 31, 36, 49, 53, 54, 44, 32, 23, 13, 7
2000, 4, 14, 22, 29, 35, 49, 53, 49, 36, 30, 18, 9, 4
2001, 2, 14, 21, 29, 36, 40, 49, 54, 43, 28, 23, 18, 2
2002, 17, 14, 17, 25, 34, 47, 51, 55, 47, 31, 22, 12, 12
2003, 4, 4, 10, 26, 36, 47, 52, 53, 45, 29, 22, 17, 4
2004, 0, 8, 17, 29, 38, 49, 58, 52, 44, 34, 24, 9, 0
2005, -2, 7, 14, 30, 35, 51, 57, 55, 40, 31, 19, 9, -2
2006, 14, 13, 21, 32, 38, 49, 56, 51, 40, 28, 27, 18, 13
2007, 8, 7, 11, 26, 37, 48, 51, 55, 43, 33, 21, 17, 7
2008, 11, 10, 14, 25, 33, 51, 58, 53, 46, 28, 19, 12, 10
2009, 1, 9, 11, 29, 34, 43, 53, 56, 43, 30, 25, 13, 1
2010, 12, 9, 26, 33, 33, 47, 51, 52, 44, 33, 24, 13, 9
2011, 2, 8, 19, 34, 37, 49, 55, 52, 42, 26, 27, 18, 2
2012, 10, 19, 22, 30, 41, 48, 59, 54, 42, 28, 25, 23, 10
2013, 7, 12, 26, 28, 35, 47, 57, 51, 40, 28, 17, 13, 7
2014, -1, 2, 8, 30, 40, 46, 54, 50, 42, 31, 17, 17, -1
2015, 6, -1, 7, 28, 39, 47, 56, 53, 47, 27, 23, 27, -1
2016, 9, 2, 23, 23, 38, 47, 57, 52, 43, 30, 27, 13, 2
2017, 4, 15, 13, 31, 38, 47, 55, 53, 46, M, M, M, M
