Monthly Lowest Min Temperature for INDIAN MILLS, NJ

Year, Jan, Feb, Mar, Apr, May, Jun, Jul, Aug, Sep, Oct, Nov, Dec, Annual
1965, -10, -3, 13, 20, 37, 41, 45, 37, 34, 22, 15, 10, -10
1966, 0, 4, 14, 23, 23, 37, 46, 49, 36, 19, 16, 3, 0
1967, 8, -8, 3, 23, 30, 36, 50, 52, 34, 20, 15, 1, -8
1968, -4, 1, 15, 21, 29, 42, 47, 41, 36, 19, 21, 3, -4
1969, 3, 9, 14, 15, 32, 43, 50, 46, 35, 17, 12, 11, 3
1970, -2, 3, 14, 23, 32, 44, 52, 47, 34, 26, 16, 7, -2
1971, 1, -5, 17, 22, 33, 45, 44, 40, 35, 34, 16, 10, -5
1972, 3, 3, 10, 23, 31, 37, 50, 42, 39, 19, 16, 12, 3
1973, 6, 6, 18, 24, 35, 50, 51, 48, 41, 30, 17, 5, 5
1974, 5, 1, 15, 24, 29, 46, 48, 45, 31, 20, 13, 15, 1
1975, 10, 8, 12, 20, 35, 43, 49, 53, 36, 26, 22, 5, 5
1976, -2, 3, 15, 24, 32, 40, 45, 36, 35, 20, 13, 4, -2
1977, -6, 5, 20, 21, 33, 39, 46, 43, 35, 29, 23, 3, -6
1978, 3, -2, 6, 26, 24, 39, M, 57, 31, 25, 24, 13, M
1979, 5, -12, 14, 23, 33, 42, 44, 41, 35, 27, 23, 11, -12
1980, 5, 8, 6, 23, 35, 38, 49, 47, 37, 25, 15, -4, -4
1981, -12, 5, 13, 24, 29, 42, 48, 44, 34, 24, 16, 8, -12
1982, -13, 10, 12, 18, 38, 45, 46, 38, 41, 22, 12, 2, -13
1983, 8, -2, 16, 25, 28, 44, 47, 48, 32, 22, 23, 1, -2
1984, -18, 5, -3, 24, 32, 40, 48, 45, 37, 30, 16, 16, -18
1985, -6, 7, 13, 19, 31, 45, 49, 49, 35, 22, 25, 2, -6
1986, 2, 5, 10, 25, 29, 36, 43, 37, 33, 28, 12, 7, 2
1987, -10, 5, 13, 28, 29, 40, 50, 42, 35, 23, 16, 5, -10
1988, -13, 3, 15, 26, 33, 40, 40, 44, 38, 18, 20, M, M
1989, M, M, M, M, 33, 45, 50, 47, 32, 28, 8, -1, M
1990, 15, 7, 11, 21, 33, 42, 52, 49, 33, 25, 23, 14, 7
1991, 6, 15, 19, 24, 32, 42, 56, 52, 34, 27, 15, 12, 6
1992, 4, 5, 15, 25, 28, 37, 50, 45, 33, 24, 18, 10, 4
1993, 16, -2, 13, 26, 38, 38, 50, 53, 35, 29, 18, 6, -2
1994, -5, 7, 17, 26, 30, 41, 53, 47, 40, 27, 21, 11, -5
1995, 9, 1, 18, 19, 32, 48, 51, 46, 40, 30, 18, 8, 1
1996, 2, -12, 1, 26, 29, 42, 49, 49, 40, 28, 13, 10, -12
1997, 2, 13, 17, 25, 30, 39, 48, 49, 33, 22, 17, 15, 2
1998, 11, 14, 15, 26, 38, 39, 51, 45, 33, 27, 19, 5, 5
1999, 4, 6, 14, 26, 33, 44, 49, 49, 43, 29, 19, 11, 4
2000, -1, 10, 22, 27, 31, 47, 50, 46, 35, 28, 14, 8, -1
2001, 6, 14, 17, 26, 33, 46, 46, 51, 37, 23, 18, 12, 6
2002, 10, 11, 13, 21, 30, 44, 47, 51, 44, 31, 17, 4, 4
2003, 1, -2, 10, 23, 32, 44, 56, 48, 41, 26, 17, 15, -2
2004, -1, 7, 15, 29, 37, 47, 54, 49, 43, 31, 20, 5, -1
2005, -5, 2, 12, 22, 32, 46, 55, 51, 35, 32, 17, 9, -5
2006, 15, 8, 20, 28, 34, 44, 49, 48, 38, 28, 23, 18, 8
2007, 8, 8, 0, 26, 37, 44, 46, 52, 38, 28, 15, 13, 0
2008, 8, 9, 22, 24, 32, 48, 56, 47, 42, 24, 18, 12, 8
2009, -1, 6, 1, 25, 32, 41, 50, 56, 39, 31, 23, 5, -1
2010, 8, 6, 25, 32, 32, 47, 48, 49, 43, 32, 21, 8, 6
2011, 4, 5, 16, 30, 34, 43, M, 52, 42, 25, 24, 18, M
2012, 9, 14, 23, 28, 39, 43, 59, 54, 40, 27, 22, 20, 9
2013, 6, 10, 23, 21, 30, 44, 55, 48, 35, 26, 17, 10, 6
2014, -6, 4, 0, 27, 36, 43, 54, 51, 40, 28, 15, 16, -6
2015, 4, -5, 1, 26, 37, 49, 55, 50, 44, 23, 20, 23, -5
2016, 6, 5, 21, 18, 34, 45, 56, 49, 42, 25, 22, 12, 5
2017, -1, 18, 10, 28, 33, 42, 56, 50, M, M, M, M, M
