Monthly Highest Min Temperature for SEABROOK FARMS, NJ

Year, Jan, Feb, Mar, Apr, May, Jun, Jul, Aug, Sep, Oct, Nov, Dec, Annual
1965, 44, 44, 40, 51, 68, 72, 76, 74, 72, 60, 50, 45, 76
1966, 42, 38, 50, 55, 64, 74, 75, 74, 70, 56, 55, 55, 75
1967, 44, 45, 45, 56, 60, 72, 75, 72, 66, 63, 50, 42, 75
1968, 40, 35, 51, 59, 62, 73, 74, 74, 70, 65, 53, 39, 74
1969, 41, 34, 44, 58, 66, 71, 74, 75, 70, 64, 59, 40, 75
1970, 37, 46, 41, 53, 64, 69, 73, 75, 73, 65, 58, 40, 75
1971, 34, 40, 43, 48, 61, 74, 74, 75, 71, 66, 68, 47, 75
1972, 48, 37, 53, 62, 66, 68, 75, 71, 69, 61, 53, 44, 75
1973, 42, 40, 55, 57, 63, 73, 75, 74, 72, 63, 55, 45, 75
1974, 41, 35, 57, 59, 65, 69, 73, 74, 69, 57, 58, 40, 74
1975, 40, 49, 47, 57, 65, 70, 73, 70, 68, 61, 56, 46, 73
1976, 31, 50, 47, 61, 64, 74, 71, 73, 67, 64, 43, 38, 74
1977, 23, 38, 60, 65, 62, 70, 74, 75, 71, 61, 60, M, M
1978, M, 26, 43, 51, 64, 69, 76, 75, 70, 61, M, M, M
1979, M, M, M, M, M, M, M, M, M, M, M, M, M
1980, M, M, M, M, M, M, M, M, M, M, M, M, M
1981, M, M, M, M, M, M, M, M, M, M, M, M, M
1982, M, M, M, M, M, M, M, M, M, M, M, M, M
1983, M, M, M, M, M, M, M, M, M, M, M, M, M
1984, M, M, M, M, M, M, 71, 71, 64, 61, 53, 51, M
1985, 47, 53, 54, 57, 64, 68, 69, 70, 70, 56, 54, 45, 70
1986, 45, 38, 51, 53, 66, 72, 75, 72, 67, 68, 56, 46, 75
1987, 37, 31, 52, 56, 69, 72, 78, 75, 70, 55, 56, 43, 78
1988, 37, 51, 55, 52, 66, 75, 76, 78, 66, 62, 54, 39, 78
1989, 40, 44, 61, 58, 67, 72, 73, 74, 73, 63, 62, 36, 74
1990, 47, 47, 60, 60, 60, 73, 73, 72, 69, 68, 48, 55, 73
1991, 41, 45, 50, 59, 73, 74, 77, 73, 72, 62, 61, 57, 77
1992, 45, 41, 49, 59, 60, 71, 74, 70, 72, 56, 59, 45, 74
1993, 40, 34, 48, 54, 64, 71, 78, 74, 79, 59, 59, 44, 79
1994, 34, 38, 52, 59, 64, 73, 78, 76, 68, 55, 57, 52, 78
1995, 59, 37, 44, 54, 64, 71, 77, 76, 68, 68, 64, 39, 77
1996, 38, 47, 46, 58, 71, 70, 74, 70, 71, 57, 63, 46, 74
1997, 47, 49, 52, 54, 64, 75, 76, 76, 70, 61, 56, 44, 76
1998, 58, 44, 61, 62, 69, 71, 74, 76, 72, 65, 47, 54, 76
1999, 52, 42, 46, 49, 61, 73, 78, 78, 73, 63, 56, 43, 78
2000, 55, 47, 51, 54, 69, 74, 72, 74, 73, 60, 53, 36, 74
2001, 35, 42, 41, 58, 63, 76, 77, 78, 70, 58, 61, 55, 78
2002, 44, 47, 50, 68, 65, 77, 79, 77, 73, 71, 60, 39, 79
2003, 40, 40, 53, 53, 63, 73, 75, 74, 71, 62, 64, 44, 75
2004, 46, 35, 53, 65, 73, 74, 75, 76, 74, 59, 55, 48, 76
2005, 47, 41, 46, 59, 59, 76, 79, 78, 73, 72, 61, 44, 79
2006, 42, 45, 58, 58, 68, 73, 76, 80, 66, 59, 57, 57, M
2007, 57, 35, 54, 64, 65, 73, 74, 79, 72, 69, 49, 40, M
2008, 53, 48, 49, 58, 65, 79, 76, 73, 76, 63, 58, 41, M
2009, 35, 51, 49, 67, 65, 68, 76, 76, 71, 63, 56, 43, M
2010, 38, 35, 46, 64, 72, 81, 81, 76, 74, 66, 52, 53, 81
2011, 39, 46, 51, 68, 71, 74, 81, 77, 72, 63, 59, 59, 81
2012, 41, 45, 56, 65, 71, 77, 80, 75, 76, 70, 48, 53, 80
2013, 45, 39, 39, 63, 68, 73, 80, 72, 73, 68, 55, 58, 80
2014, 40, 42, 47, 61, 66, 76, 74, 71, 74, 69, 56, 48, 76
2015, 40, 33, 41, 56, 69, 74, 79, 73, 72, 61, 64, 63, 79
2016, 40, 53, 59, 61, 71, 69, 76, 80, 76, 63, 57, 50, 80
2017, 51, 56, 52, 65, 69, 76, 77, 72, 68, M, M, M, M
