Rank, Year, TotalPrecipitation, MissingCount
-, 1873, 1.93, 343
-, 1874, 34.09, 0
-, 1875, 39.95, 0
-, 1876, 35.99, 0
-, 1877, 36.38, 0
-, 1878, 42.13, 0
-, 1879, 47.48, 0
-, 1880, 46.25, 0
-, 1881, 40.08, 0
-, 1882, 55.29, 0
-, 1883, 44.64, 0
-, 1884, 53.70, 0
-, 1885, 38.45, 0
-, 1886, 44.81, 0
-, 1887, 37.91, 0
-, 1888, 44.14, 0
-, 1889, 38.83, 0
-, 1890, 47.30, 0
-, 1891, 43.14, 0
-, 1892, 37.27, 0
-, 1893, 37.16, 0
-, 1894, 33.21, 0
-, 1895, 28.41, 0
-, 1896, 32.41, 0
-, 1897, 35.65, 0
-, 1898, 38.68, 0
-, 1899, 37.84, 0
-, 1900, 28.13, 0
-, 1901, 36.33, 0
-, 1902, 50.58, 0
-, 1903, 61.11, 0
-, 1904, 30.14, 0
-, 1905, 39.17, 0
-, 1906, 48.80, 0
-, 1907, 48.54, 0
-, 1908, 37.88, 0
-, 1909, 37.34, 0
-, 1910, 34.33, 0
-, 1911, 44.21, 0
-, 1912, 44.52, 0
-, 1913, 36.70, 0
-, 1914, 39.88, 0
-, 1915, 35.82, 0
-, 1916, 34.11, 0
-, 1917, 40.61, 0
-, 1918, 30.14, 0
-, 1919, 49.44, 0
-, 1920, 45.36, 0
-, 1921, 35.93, 0
-, 1922, 38.93, 0
-, 1923, 39.45, 0
-, 1924, 38.31, 0
-, 1925, 34.99, 0
-, 1926, 41.22, 0
-, 1927, 41.11, 0
-, 1928, 44.86, 0
-, 1929, 36.05, 0
-, 1930, 31.18, 0
-, 1931, 31.18, 0
-, 1932, 46.58, 0
-, 1933, 51.27, 0
-, 1934, 40.45, 0
-, 1935, 55.04, 0
-, 1936, 47.90, 0
-, 1937, 42.39, 0
-, 1938, 49.14, 0
-, 1939, 46.63, 0
-, 1940, 41.42, 0
-, 1941, 32.06, 0
-, 1942, 46.22, 0
-, 1943, 37.93, 0
-, 1944, 49.02, 0
-, 1945, 46.27, 0
-, 1946, 31.87, 0
-, 1947, 33.70, 0
-, 1948, 62.18, 0
-, 1949, 41.36, 0
-, 1950, 38.46, 0
-, 1951, 38.63, 0
-, 1952, 46.95, 0
-, 1953, 55.91, 0
-, 1954, 34.02, 0
-, 1955, 34.72, 0
-, 1956, 43.58, 0
-, 1957, 34.52, 0
-, 1958, 67.17, 0
-, 1959, 50.37, 1
-, 1960, 35.19, 0
-, 1961, 39.16, 0
-, 1962, 42.10, 0
-, 1963, 32.56, 0
-, 1964, 35.69, 0
-, 1965, 30.05, 0
-, 1966, 38.05, 0
-, 1967, 42.17, 0
-, 1968, 33.75, 0
-, 1969, 43.96, 0
-, 1970, 35.47, 0
-, 1971, 43.92, 0
-, 1972, 51.68, 0
-, 1973, 38.75, 0
-, 1974, 33.00, 0
-, 1975, 39.89, 0
-, 1976, 30.29, 0
-, 1977, 34.47, 0
-, 1978, 36.78, 0
-, 1979, 46.45, 0
-, 1980, 32.34, 0
-, 1981, 30.52, 0
-, 1982, 32.00, 0
-, 1983, 40.63, 0
-, 1984, 37.80, 0
-, 1985, 27.54, 0
-, 1986, 32.57, 18
-, 1987, 41.78, 1
-, 1988, 24.91, 92
-, 1989, 19.25, 218
-, 1990, 35.34, 0
-, 1991, 37.31, 2
-, 1992, 37.49, 7
-, 1993, 36.68, 2
-, 1994, 39.44, 1
-, 1995, 36.06, 2
-, 1996, 45.93, 0
-, 1997, 45.12, 0
-, 1998, 41.76, 0
-, 1999, 38.35, 0
-, 2000, 47.54, 0
-, 2001, 25.57, 1
-, 2002, 43.12, 0
-, 2003, 44.49, 4
-, 2004, 39.50, 2
-, 2005, 43.79, 6
-, 2006, 41.14, 1
-, 2007, 42.86, 2
-, 2008, 44.88, 0
-, 2009, 64.18, 4
-, 2010, 45.39, 1
-, 2011, 44.54, 2
-, 2012, 49.99, 0
-, 2013, 43.03, 5
-, 2014, 49.44, 16
-, 2015, 42.04, 11
-, 2016, 43.61, 0
