1968, M, M, M, M, M, 4.50, 0.85, 7.07, 2.32, 1.99, 5.77, 3.66, 26.16
1969, 1.56, 2.66, 2.79, 3.75, 2.78, 3.03, 8.26, 3.86, 6.17, 1.93, 2.59, 5.80, 45.18
1970, 0.90, 2.54, 4.10, 5.23, 2.12, 4.28, 3.48, 3.00, 3.71, 2.86, 5.89, 2.81, 40.92
1971, 2.70, 5.01, 3.14, 2.63, 3.77, 0.88, 6.05, 13.36, 3.91, 3.70, 5.35, 1.46, 51.96
1972, 2.31, 4.90, 4.22, 3.05, 6.26, 9.07, 3.92, 1.40, 0.87, 6.49, 8.28, 6.48, 57.25
1973, 4.56, 4.40, 4.01, 6.94, 5.27, 5.91, 3.51, 3.14, 3.12, 4.66, 2.15, 8.86, 56.53
1974, 3.71, 1.79, 5.49, 2.92, 4.00, 2.54, 1.90, 5.80, 5.54, 2.26, 1.47, 5.67, 43.09
1975, 5.79, 3.64, 3.44, 2.81, 5.73, 8.49, 10.33, 3.30, 11.85, 3.79, 3.79, 2.89, 65.85
1976, 5.91, 2.64, 2.41, 2.14, 5.05, 2.02, 1.62, 3.82, 1.40, 6.42, 0.34, 2.39, 36.16
1977, 1.99, 2.07, 5.57, 3.90, 1.18, 4.16, 5.02, 4.94, 4.71, 4.00, 7.52, 6.32, 51.38
1978, 8.30, 1.40, 3.78, 2.12, 6.35, 2.73, 3.73, 5.98, 2.33, 1.60, 2.39, 5.41, 46.12
1979, 9.18, 4.87, 4.32, 3.44, 7.67, 2.83, 3.82, 6.04, 7.97, 3.78, 3.11, 2.08, 59.11
1980, 1.99, 0.93, 7.12, 7.39, 3.00, 3.02, 4.95, 1.36, 1.44, 3.36, 3.86, 0.55, 38.97
1981, 0.50, 4.27, 1.64, 3.11, 3.80, 3.21, 4.48, 2.12, 6.64, 3.29, 2.32, 4.62, 40.00
1982, 5.12, 2.84, 1.34, 6.82, 3.41, 5.38, 4.05, 2.47, 2.61, 1.83, 3.35, 1.76, 40.98
1983, 4.28, 2.28, 8.53, 9.51, 5.13, 3.15, 1.72, 3.10, 2.83, 4.96, 6.42, 9.91, 61.82
1984, 2.19, 3.66, 6.51, 4.98, 9.38, 2.10, 9.65, 3.24, 2.75, 2.39, 2.86, 3.22, 52.93
1985, 0.97, 2.60, 1.12, 1.84, 5.36, 4.86, 4.75, 5.36, 5.20, 1.93, 7.93, 1.50, 43.42
