Monthly Total Precipitation for NEW BRUNSWICK EXPERIMENT STATION, NJ
For each month: monthly value and monthly number of missing days

Year, Jan, mcnt, Feb, mcnt, Mar, mcnt, Apr, mcnt, May, mcnt, Jun, mcnt, Jul, mcnt, Aug, mcnt, Sep, mcnt, Oct, mcnt, Nov, mcnt, Dec, mcnt, Annual
1896, 1.63, 25, M, 29, M, 31, 1.41, 18, 3.70, 20, 4.93, 19, 4.37, 15, 2.42, 23, 4.81, 20, 1.62, 23, 2.95, 20, 1.59, 27, 29.43
1897, 2.39, 19, 2.77, 21, 2.47, 17, 3.47, 19, 6.45, 17, 2.50, 21, 12.84, 14, 3.81, 17, 2.10, 23, 1.59, 22, 4.52, 17, 5.09, 17, 50.00
1898, 4.13, 21, 3.49, 18, 3.22, 16, 4.37, 16, 7.86, 8, 1.13, 20, 3.91, 17, 6.44, 20, 1.46, 23, 5.80, 18, 8.20, 27, 3.16, 21, 53.17
1899, 4.88, 20, 5.37, 13, 6.63, 14, 1.50, 23, 2.25, 17, 3.59, 23, 6.32, 1, 3.45, 0, 7.80, 0, 2.96, 0, 4.23, 0, M, 31, 48.98
1900, 2.01, 2, 5.46, 0, 3.40, 0, 2.38, 0, 5.58, 0, 2.64, 0, 6.94, 0, 1.50, 2, 0.54, 2, 3.53, 0, 4.27, 0, 2.37, 0, 40.62
1901, 2.11, 0, 0.76, 0, 5.19, 0, 7.39, 0, 5.01, 0, 0.81, 0, 9.12, 0, 8.90, 0, 1.86, 0, 1.89, 0, 2.21, 0, 7.20, 0, 52.45
1902, 2.70, 0, 6.46, 0, 3.79, 0, 3.09, 0, 1.51, 0, 6.08, 0, 3.42, 0, 6.29, 0, 5.25, 0, 7.76, 0, 1.58, 0, 6.83, 0, 54.76
1903, 3.84, 0, 4.61, 0, 4.74, 0, 4.57, 0, 0.29, 0, 7.35, 0, 5.07, 0, 5.97, 0, 3.69, 0, 7.18, 0, 1.21, 0, 3.53, 0, 52.05
1904, 3.11, 0, 2.52, 0, 3.07, 0, 3.49, 0, 2.79, 0, 2.50, 0, 7.99, 0, 13.01, 0, 5.09, 21, 5.78, 24, 2.70, 22, 2.07, 15, 54.12
1905, 3.80, 19, 2.59, 20, 4.02, 19, 2.83, 16, 1.83, 21, 1.83, 19, 4.23, 18, 4.96, 19, 4.32, 22, 2.99, 25, 2.01, 22, 3.96, 24, 39.37
1906, 3.04, 19, 2.04, 19, 4.28, 19, 4.38, 19, 4.75, 21, 3.20, 15, 6.10, 19, 3.95, 21, 1.90, 23, 3.02, 18, 1.50, 23, 3.71, 18, 41.87
1907, 3.44, 15, 2.25, 17, 3.29, 19, 2.22, 20, 4.40, 18, 3.44, 20, 6.42, 24, 2.79, 22, 6.87, 16, 4.95, 22, 5.48, 16, 2.47, 22, 48.02
1908, 2.67, 21, 0.90, 27, 1.94, 18, 3.51, 17, 7.23, 13, 2.34, 26, 5.12, 23, 5.00, 21, 1.93, 26, 3.67, 20, 1.16, 20, 3.40, 20, 38.87
1909, 3.17, 16, 5.40, 11, 3.79, 15, 7.25, 14, 2.01, 18, 2.23, 13, 3.42, 19, 9.07, 22, 3.73, 17, 1.22, 18, 1.89, 18, 5.47, 23, 48.65
1910, 6.65, 13, 2.58, 16, 1.73, 21, 5.01, 13, 2.86, 14, 4.94, 13, 0.28, 25, 6.29, 15, 3.49, 18, 3.86, 20, 3.86, 18, 2.50, 19, 44.05
1911, 3.52, 15, 3.43, 12, 3.86, 15, 4.54, 16, 1.55, 20, 5.09, 9, 5.34, 19, 12.68, 19, 2.28, 15, 6.64, 19, 4.60, 21, 4.66, 17, 58.19
